Status Effective,Account Holder,Quantity of Credits,Retirement Reason,Retirement Reason Details,Credit Serial Numbers,Vintage,Date Issued (GMT),Verified Removal,CORSIA Eligible,ARB Eligible,Sustainable Development Goal(s),Project ID,Project Name,Project Site Country,Project Site Location,Project Site State,Project Type,Project Methodology/Protocol,Methodology/Protocol Version
3/14/2022,BeZero Carbon,1357,On Behalf of Third Party,Retired on behalf of Net Hero and Hero Era,ACR-US-222-2017-1373-1644 to 3000,2017,10/20/2021 19:13,,No,No,06: Clean Water and Sanitation;13: Climate Action;15: Life on Land,ACR131,Prairie Pothole Avoided Conversion of Grasslands and Shrublands,US,Missouri Coteau,NORTH DAKOTA,Agricultural Land Management,Avoided Conversion of Grasslands and Shrublands to Crop Production,Version 2.0
3/14/2022,One Tree Planted,90,On Behalf of Third Party,Retired by One Tree Planted on behalf of New Leaf Paper,ACR-US-518-2019-1335-4230 to 4319,2019,9/1/2021 21:43,,No,No,06: Clean Water and Sanitation;13: Climate Action;15: Life on Land,ACR131,Anew - Burnt Mountain Forestry Project,US,"Montgomery, VT",VERMONT,Forest Carbon,Improved Forest Management (IFM) on Non-Federal U.S. Forestlands,Version 1.3
3/14/2022,One Tree Planted,260,On Behalf of Third Party,Retired by One Tree Planted on behalf of Mediclo,ACR-US-518-2019-1335-3970 to 4229,2019,9/1/2021 21:43,,No,No,06: Clean Water and Sanitation;13: Climate Action;15: Life on Land,ACR131,Anew - Burnt Mountain Forestry Project,US,"Montgomery, VT",VERMONT,Forest Carbon,Improved Forest Management (IFM) on Non-Federal U.S. Forestlands,Version 1.3
3/14/2022,One Tree Planted,154,On Behalf of Third Party,Retired by One Tree Planted on behalf of Eurofins,ACR-US-518-2019-1335-3816 to 3969,2019,9/1/2021 21:43,,No,No,06: Clean Water and Sanitation;13: Climate Action;15: Life on Land,ACR131,Anew - Burnt Mountain Forestry Project,US,"Montgomery, VT",VERMONT,Forest Carbon,Improved Forest Management (IFM) on Non-Federal U.S. Forestlands,Version 1.3
3/14/2022,One Tree Planted,635,On Behalf of Third Party,Retired by One Tree Planted on behalf of multiple contributors,ACR-US-518-2019-1335-3181 to 3815,2019,9/1/2021 21:43,,No,No,06: Clean Water and Sanitation;13: Climate Action;15: Life on Land,ACR131,Anew - Burnt Mountain Forestry Project,US,"Montgomery, VT",VERMONT,Forest Carbon,Improved Forest Management (IFM) on Non-Federal U.S. Forestlands,Version 1.3
3/11/2022,Arbor Day Foundation,205,On Behalf of Third Party,Retired on behalf of AMUNDI ASSET MANAGEMENT,ACR-US-114-2019-1071-408480 to 408684,2019,7/31/2020 21:00,,No,No,06: Clean Water and Sanitation;13: Climate Action;15: Life on Land,ACR131,GreenTrees ACRE (Advanced Carbon Restored Ecosystem),US,Mississippi Alluvial Valley,ARKANSAS,Forest Carbon,Afforestation and Reforestation of Degraded Lands,Version 1.0
3/10/2022,Blue Source,1000,On Behalf of Third Party,These credits have been retired on behalf of CarbonClick customers for the purpose of offsetting their carbon emissions,ACR-US-459-2018-974-33393 to 34392,2018,3/18/2020 14:27,,No,No,06: Clean Water and Sanitation;13: Climate Action;15: Life on Land,ACR132,Anew - Klawock Heenya Native Community Forestry Project,US,Klawock,ALASKA,Forest Carbon,Improved Forest Management (IFM) on Non-Federal U.S. Forestlands,Version 1.0
3/10/2022,Carbonfund.org,1500,Retail Program Requirements,"Retired on behalf of Carbonfund.org's donor ConAgra R&F (PF), LLC",ACR-US-212-2018-817-541655 to 543154,2018,4/10/2019 18:14,,No,No,06: Clean Water and Sanitation;13: Climate Action;15: Life on Land,ACR132,UPM Blandin Native American Hardwoods Conservation & Carbon Sequestration Project,US,70mile radius of Grand Rapids,MINNESOTA,Forest Carbon,Improved Forest Management (IFM) on Non-Federal U.S. Forestlands,Version 1.1
3/10/2022,Cool Effect,513,Environmental Benefit,February Cool Effect Platform Sales: TNCCHES-PUR-2018,ACR-US-441-2018-865-61484 to 61996,2018,7/12/2019 0:17,,No,No,06: Clean Water and Sanitation;13: Climate Action;15: Life on Land,ACR132,TNC-Chestnut Mountain Improved Forest Management Project,US,White County,TENNESSEE,Forest Carbon,Improved Forest Management (IFM) on Non-Federal U.S. Forestlands,Version 1.3
3/9/2022,"Tradewater, LLC",106,On Behalf of Third Party,Microsoft’s Citus Postgres Conference team is pleased to be making a positive impact on the environment. We have prevented 106 metric tons of CO2e from entering the atmosphere.,ACR-US-597-2021-1256-730 to 835,2021,5/11/2021 23:33,,No,No,"09: Industry, Innovation and Infrastructure;12: Responsible Consumption and Production;13: Climate Action",ACR132,Tradewater Halon,US,East Liverpool,OHIO,Ozone Depleting Substances,Destruction of Ozone Depleting Substances (ODS) and High-Global Warming Potential (GWP) Foam,Version 1.1
3/8/2022,674,8,Other,"Retirement for Organization, Interactive Brokers LLC",ACR-US-454-2017-995-71984 to 71991,2017,4/23/2020 23:27,,Yes,No,"09: Industry, Innovation and Infrastructure;12: Responsible Consumption and Production;13: Climate Action",ACR132,Foam Blowing Agent Project 003C,US,Winchester,VIRGINIA,Industrial Process Emissions,Transition to Advanced Formulation Blowing Agents in Foam Manufacturing and Use,Version 1.0
3/8/2022,"Carbon Portfolio Advisors, LLC",800,On Behalf of Third Party,Client ID 000155,ACR-US-606-2019-1287-1 to 800,2019,6/21/2021 22:09,,Yes,No,"09: Industry, Innovation and Infrastructure;12: Responsible Consumption and Production;13: Climate Action",ACR132,True Manufacturing FBA Project 002,US,Missouri,MISSOURI,Industrial Process Emissions,Transition to Advanced Formulation Blowing Agents in Foam Manufacturing and Use,Version 2.0
3/8/2022,"Carbon Portfolio Advisors, LLC",500,On Behalf of Third Party,Client ID 000155,ACR-US-448-2018-1121-501 to 1000,2018,10/7/2020 23:53,,Yes,No,"09: Industry, Innovation and Infrastructure;12: Responsible Consumption and Production;13: Climate Action",ACR132,Foam Blowing Agent Project 001D,US,Earth City,MISSOURI,Industrial Process Emissions,Transition to Advanced Formulation Blowing Agents in Foam Manufacturing and Use,Version 1.0
3/7/2022,South Pole USA Inc.,99,Environmental Benefit,Retired on behalf of Forbright Bank to achieve carbon neutrality,ACR-US-398-2020-1244-20001 to 20099,2020,4/29/2021 22:19,,No,No,06: Clean Water and Sanitation;13: Climate Action;15: Life on Land,ACR132,Anew - Doe Mountain Forestry Project,US,"Johnson County, Tennessee",TENNESSEE,Forest Carbon,Improved Forest Management (IFM) on Non-Federal U.S. Forestlands,Version 1.3
3/7/2022,South Pole USA Inc.,99,Environmental Benefit,Retired on behalf of Forbright Bank to achieve carbon neutrality,ACR-US-386-2018-989-20210 to 20308,2018,4/13/2020 22:50,,No,No,06: Clean Water and Sanitation;13: Climate Action;15: Life on Land,ACR132,Anew - Hudson Farm Forestry Project,US,"Andover, New Jersey",NEW JERSEY,Forest Carbon,Improved Forest Management (IFM) on Non-Federal U.S. Forestlands,Version 1.3
3/7/2022,"Climate Impact Partners, LLC",13500,On Behalf of Third Party,Retired on behalf of Sun Life Assurance Company of Canada,ACR-US-114-2017-735-477330 to 490829,2017,6/22/2018 23:22,,No,No,06: Clean Water and Sanitation;13: Climate Action;15: Life on Land,ACR132,GreenTrees ACRE (Advanced Carbon Restored Ecosystem),US,Mississippi Alluvial Valley,ARKANSAS,Forest Carbon,Afforestation and Reforestation of Degraded Lands,Version 1.0
3/7/2022,"Climate Impact Partners, LLC",3333,On Behalf of Third Party,Retired on behalf of Massachusetts Financial Services Company,ACR-US-114-2017-735-473997 to 477329,2017,6/22/2018 23:22,,No,No,06: Clean Water and Sanitation;13: Climate Action;15: Life on Land,ACR132,GreenTrees ACRE (Advanced Carbon Restored Ecosystem),US,Mississippi Alluvial Valley,ARKANSAS,Forest Carbon,Afforestation and Reforestation of Degraded Lands,Version 1.0
3/6/2022,"4AIR, LLC",1500,On Behalf of Third Party,4AIR Client-2021 Emissions,ACR-US-376-2019-1407-13353 to 14852,2019,12/15/2021 21:49,,No,No,06: Clean Water and Sanitation;13: Climate Action;15: Life on Land,ACR132,Anew - Massachusetts Tri-City Forestry Project,US,"Hampden and Tolland Counties, Massachusetts",MASSACHUSETTS,Forest Carbon,Improved Forest Management (IFM) on Non-Federal U.S. Forestlands,Version 1.2
3/6/2022,"4AIR, LLC",1000,On Behalf of Third Party,4AIR Client-2021 Emissions,ACR-US-212-2020-1172-179176 to 180175,2020,12/18/2020 23:27,,No,No,06: Clean Water and Sanitation;13: Climate Action;15: Life on Land,ACR132,UPM Blandin Native American Hardwoods Conservation & Carbon Sequestration Project,US,70mile radius of Grand Rapids,MINNESOTA,Forest Carbon,Improved Forest Management (IFM) on Non-Federal U.S. Forestlands,Version 1.1
3/6/2022,"4AIR, LLC",3352,On Behalf of Third Party,4AIR-NBAA-BACE 2021,ACR-US-376-2019-1407-10001 to 13352,2019,12/15/2021 21:49,,No,No,06: Clean Water and Sanitation;13: Climate Action;15: Life on Land,ACR132,Anew - Massachusetts Tri-City Forestry Project,US,"Hampden and Tolland Counties, Massachusetts",MASSACHUSETTS,Forest Carbon,Improved Forest Management (IFM) on Non-Federal U.S. Forestlands,Version 1.2
3/3/2022,492,3950,Retail Program Requirements,2021 NGB Participation,ACR-US-506-2020-1227-1 to 3950,2020,3/18/2021 22:30,,No,No,06: Clean Water and Sanitation;13: Climate Action;15: Life on Land,ACR132,Anew - Greenleaf Forestry Project,US,Upper Peninsula Michigan,MICHIGAN,Forest Carbon,Improved Forest Management (IFM) on Non-Federal U.S. Forestlands,Version 1.3
3/3/2022,Green Story Inc,82,Other,"Retired on behalf of Green Story Inc's and SimpliZero Clients to offset the carbon footprint of their products sales, employee and lifestyle footprint for January 2022",ACR-US-386-2019-1243-19404 to 19485,2019,4/29/2021 21:52,,No,No,06: Clean Water and Sanitation;13: Climate Action;15: Life on Land,ACR132,Anew - Hudson Farm Forestry Project,US,"Andover, New Jersey",NEW JERSEY,Forest Carbon,Improved Forest Management (IFM) on Non-Federal U.S. Forestlands,Version 1.3
3/2/2022,"Tradewater, LLC",7687,Retail Program Requirements,Offsetting Intuit’s FY21 scope emissions.,ACR-US-670-2021-1397-1 to 7687,2021,11/18/2021 17:28,,No,No,"09: Industry, Innovation and Infrastructure;12: Responsible Consumption and Production;13: Climate Action",ACR132,TWRS 2,US,Elk Grove Village,ILLINOIS,Industrial Process Emissions,"Certified Reclaimed HFC Refrigerants, Propellants, and Fire Suppressants",Version 1.2
3/2/2022,"Tradewater, LLC",112,On Behalf of Third Party,Offsetting Intuit’s FY21 scope emissions.,ACR-US-564-2019-1231-1 to 112,2019,3/23/2021 17:21,,Yes,No,"09: Industry, Innovation and Infrastructure;12: Responsible Consumption and Production;13: Climate Action",ACR132,Tradewater HFC Reclamation,US,Chicago,ILLINOIS,Industrial Process Emissions,"Certified Reclaimed HFC Refrigerants, Propellants, and Fire Suppressants",Version 1.1
3/2/2022,"Tradewater, LLC",7201,On Behalf of Third Party,Offsetting Intuit’s FY21 scope emissions.,ACR-US-564-2020-1230-1 to 7201,2020,3/23/2021 17:21,,Yes,No,"09: Industry, Innovation and Infrastructure;12: Responsible Consumption and Production;13: Climate Action",ACR132,Tradewater HFC Reclamation,US,Chicago,ILLINOIS,Industrial Process Emissions,"Certified Reclaimed HFC Refrigerants, Propellants, and Fire Suppressants",Version 1.1
3/2/2022,"3Degrees Group, Inc.",82,On Behalf of Third Party,Transaction Reference 20813,ACR-US-212-2018-1153-66655 to 66736,2018,11/23/2020 23:09,,No,No,06: Clean Water and Sanitation;13: Climate Action;15: Life on Land,ACR132,UPM Blandin Native American Hardwoods Conservation & Carbon Sequestration Project,US,70mile radius of Grand Rapids,MINNESOTA,Forest Carbon,Improved Forest Management (IFM) on Non-Federal U.S. Forestlands,Version 1.1
3/2/2022,"3Degrees Group, Inc.",9253,On Behalf of Third Party,Transaction Reference 19934,ACR-US-386-2019-988-8001 to 17253,2019,4/13/2020 22:50,,No,No,06: Clean Water and Sanitation;13: Climate Action;15: Life on Land,ACR132,Anew - Hudson Farm Forestry Project,US,"Andover, New Jersey",NEW JERSEY,Forest Carbon,Improved Forest Management (IFM) on Non-Federal U.S. Forestlands,Version 1.3
3/2/2022,"3Degrees Group, Inc.",5747,On Behalf of Third Party,Transaction Reference 19934,ACR-US-212-2018-817-448913 to 454659,2018,4/10/2019 18:14,,No,No,06: Clean Water and Sanitation;13: Climate Action;15: Life on Land,ACR132,UPM Blandin Native American Hardwoods Conservation & Carbon Sequestration Project,US,70mile radius of Grand Rapids,MINNESOTA,Forest Carbon,Improved Forest Management (IFM) on Non-Federal U.S. Forestlands,Version 1.1
3/2/2022,ACT Commodities Inc.,3588,Environmental Benefit,"arbon credits are retired on behalf of American Snuff Company, LLC – Clarksville",ACR-US-398-2018-1023-31189 to 34776,2018,6/10/2020 22:26,,No,No,06: Clean Water and Sanitation;13: Climate Action;15: Life on Land,ACR132,Anew - Doe Mountain Forestry Project,US,"Johnson County, Tennessee",TENNESSEE,Forest Carbon,Improved Forest Management (IFM) on Non-Federal U.S. Forestlands,Version 1.0
2/25/2022,392,40,On Behalf of Third Party,On behalf of participants in Buy Carbon,ACR-US-499-2019-1025-64862 to 64901,2019,6/17/2020 13:09,,No,No,06: Clean Water and Sanitation;13: Climate Action;15: Life on Land,ACR133,Anew - Kootznoowoo Native Community Forestry Project,US,Prince of Wales,ALASKA,Forest Carbon,Improved Forest Management (IFM) on Non-Federal U.S. Forestlands,Version 1.3
2/25/2022,392,85,On Behalf of Third Party,On behalf of participants in Buy Carbon,ACR-US-499-2019-1207-37626 to 37710,2019,2/8/2021 19:55,,No,No,06: Clean Water and Sanitation;13: Climate Action;15: Life on Land,ACR133,Anew - Kootznoowoo Native Community Forestry Project,US,Prince of Wales,ALASKA,Forest Carbon,Improved Forest Management (IFM) on Non-Federal U.S. Forestlands,Version 1.3
2/25/2022,392,1314,On Behalf of Third Party,On behalf of Adore Me,ACR-US-441-2018-865-77163 to 78476,2018,7/12/2019 0:17,,No,No,06: Clean Water and Sanitation;13: Climate Action;15: Life on Land,ACR133,TNC-Chestnut Mountain Improved Forest Management Project,US,White County,TENNESSEE,Forest Carbon,Improved Forest Management (IFM) on Non-Federal U.S. Forestlands,Version 1.3
2/23/2022,Green Story Inc,9,Other,"Retired on behalf of Green Story Inc's and SimpliZero Clients to offset the carbon footprint of their products sales, employee and lifestyle footprint for January 2022",ACR-US-386-2019-1243-19395 to 19403,2019,4/29/2021 21:52,,No,No,06: Clean Water and Sanitation;13: Climate Action;15: Life on Land,ACR133,Anew - Hudson Farm Forestry Project,US,"Andover, New Jersey",NEW JERSEY,Forest Carbon,Improved Forest Management (IFM) on Non-Federal U.S. Forestlands,Version 1.3
2/23/2022,The Climate Trust,40000,Retail Program Requirements,Retired on behalf of NW Natural Smart Energy program participants,ACR-US-534-2020-1447-1 to 40000,2020,2/1/2022 23:41,,No,No,06: Clean Water and Sanitation;13: Climate Action;15: Life on Land,ACR133,Anew - Shaan Seet Native Community Forestry Project,US,Prince of Wales Island,ALASKA,Forest Carbon,Improved Forest Management (IFM) on Non-Federal U.S. Forestlands,Version 1.3
2/22/2022,"Enstor Gas, LLC",4752,Environmental Benefit,Q4 2021 Katy Gas Storage Carbon Offsets,ACR-US-122-2006-113-200606860 to 200611611,2006,8/30/2007,,No,No,,ACR133,Romeoville LFG to Energy,US,Romeoville,ILLINOIS,Landfill Gas Capture & Combustion,"Monitoring, Reporting and Verification Protocol for Landfill Gas Combustion",Version 1.0
2/18/2022,Cool Effect,250,Environmental Benefit,January Cool Effect Platform Sales: TNCCHES-PUR-2018,ACR-US-441-2018-865-61234 to 61483,2018,7/12/2019 0:17,,No,No,06: Clean Water and Sanitation;13: Climate Action;15: Life on Land,ACR133,TNC-Chestnut Mountain Improved Forest Management Project,US,White County,TENNESSEE,Forest Carbon,Improved Forest Management (IFM) on Non-Federal U.S. Forestlands,Version 1.3
2/14/2022,551,640,On Behalf of Third Party,IDEO LP,ACR-US-499-2018-1026-54243 to 54882,2018,6/17/2020 13:09,,No,No,06: Clean Water and Sanitation;13: Climate Action;15: Life on Land,ACR133,Anew - Kootznoowoo Native Community Forestry Project,US,Prince of Wales,ALASKA,Forest Carbon,Improved Forest Management (IFM) on Non-Federal U.S. Forestlands,Version 1.3
2/11/2022,The Nature Conservancy,40000,On Behalf of Third Party,Retired on behalf of Disney's greenhouse gas emissions,ACR-US-441-2019-1018-1 to 40000,2019,6/10/2020 21:37,,No,No,06: Clean Water and Sanitation;13: Climate Action;15: Life on Land,ACR133,TNC-Chestnut Mountain Improved Forest Management Project,US,White County,TENNESSEE,Forest Carbon,Improved Forest Management (IFM) on Non-Federal U.S. Forestlands,Version 1.3
2/11/2022,Blue Source,2000,On Behalf of Third Party,The County of Boulder’s 2021 Cannabis Electricity Emissions,ACR-US-499-2019-1207-51343 to 53342,2019,2/8/2021 19:55,,No,No,06: Clean Water and Sanitation;13: Climate Action;15: Life on Land,ACR133,Anew - Kootznoowoo Native Community Forestry Project,US,Prince of Wales,ALASKA,Forest Carbon,Improved Forest Management (IFM) on Non-Federal U.S. Forestlands,Version 1.3
2/11/2022,Blue Source,4500,On Behalf of Third Party,The County of Boulder’s 2021 Cannabis Electricity Emissions,ACR-US-499-2019-1207-55343 to 59842,2019,2/8/2021 19:55,,No,No,06: Clean Water and Sanitation;13: Climate Action;15: Life on Land,ACR133,Anew - Kootznoowoo Native Community Forestry Project,US,Prince of Wales,ALASKA,Forest Carbon,Improved Forest Management (IFM) on Non-Federal U.S. Forestlands,Version 1.3
2/10/2022,"Shell Energy North America (US), L.P.",16464,Environmental Benefit,Retired by Shell,ACR-US-114-2013-385-286031 to 302494,2013,5/1/2015 23:46,,No,No,06: Clean Water and Sanitation;13: Climate Action;15: Life on Land,ACR133,GreenTrees ACRE (Advanced Carbon Restored Ecosystem),US,Mississippi Alluvial Valley,ARKANSAS,Forest Carbon,Afforestation and Reforestation of Degraded Lands,Version 1.0
2/8/2022,"3Degrees Group, Inc.",202,On Behalf of Third Party,Retired on behalf of REI Co-op,ACR-US-212-2018-817-448711 to 448912,2018,4/10/2019 18:14,,No,No,06: Clean Water and Sanitation;13: Climate Action;15: Life on Land,ACR133,UPM Blandin Native American Hardwoods Conservation & Carbon Sequestration Project,US,70mile radius of Grand Rapids,MINNESOTA,Forest Carbon,Improved Forest Management (IFM) on Non-Federal U.S. Forestlands,Version 1.1
2/8/2022,"3Degrees Group, Inc.",202,On Behalf of Third Party,Retired on behalf of REI Co-op,ACR-US-389-2017-1106-19341 to 19542,2017,9/22/2020 1:06,,Yes,No,06: Clean Water and Sanitation;13: Climate Action;15: Life on Land,ACR133,Winston Creek Forest Carbon Project,US,"Morton, Washington",WASHINGTON,Forest Carbon,Improved Forest Management (IFM) on Non-Federal U.S. Forestlands,Version 1.2
2/8/2022,"3Degrees Group, Inc.",27028,On Behalf of Third Party,"Retired on behalf of Etsy, Inc",ACR-US-212-2018-817-421683 to 448710,2018,4/10/2019 18:14,,No,No,06: Clean Water and Sanitation;13: Climate Action;15: Life on Land,ACR133,UPM Blandin Native American Hardwoods Conservation & Carbon Sequestration Project,US,70mile radius of Grand Rapids,MINNESOTA,Forest Carbon,Improved Forest Management (IFM) on Non-Federal U.S. Forestlands,Version 1.1
2/8/2022,"3Degrees Group, Inc.",1594,On Behalf of Third Party,Transaction Reference 20869,ACR-US-223-2019-1184-1 to 1594,2019,12/23/2020 17:05,,No,No,"09: Industry, Innovation and Infrastructure;13: Climate Action",ACR133,Transformer Oil Reclamation Project,US,"2021 Steinway Blvd S.E, Canton, OH",OHIO,Industrial Process Emissions,Reduction in Emissions from the Recycling of Transformer Oil,Version 1.0
2/8/2022,"3Degrees Group, Inc.",3406,On Behalf of Third Party,Transaction Reference 20869,ACR-US-223-2019-924-1 to 3406,2019,12/13/2019 19:57,,No,No,"09: Industry, Innovation and Infrastructure;13: Climate Action",ACR133,Transformer Oil Reclamation Project,US,"2021 Steinway Blvd S.E, Canton, OH",OHIO,Industrial Process Emissions,Reduction in Emissions from the Recycling of Transformer Oil,Version 1.0
2/8/2022,"3Degrees Group, Inc.",5000,On Behalf of Third Party,Transaction Reference 20869,ACR-US-386-2019-988-3001 to 8000,2019,4/13/2020 22:50,,No,No,06: Clean Water and Sanitation;13: Climate Action;15: Life on Land,ACR133,Anew - Hudson Farm Forestry Project,US,"Andover, New Jersey",NEW JERSEY,Forest Carbon,Improved Forest Management (IFM) on Non-Federal U.S. Forestlands,Version 1.3
2/7/2022,"Shell Energy North America (US), L.P.",4500,Environmental Benefit,Retired on behalf of Freehold Royalties,ACR-US-114-2013-385-357683 to 362182,2013,5/1/2015 23:46,,No,No,06: Clean Water and Sanitation;13: Climate Action;15: Life on Land,ACR133,GreenTrees ACRE (Advanced Carbon Restored Ecosystem),US,Mississippi Alluvial Valley,ARKANSAS,Forest Carbon,Afforestation and Reforestation of Degraded Lands,Version 1.0
2/3/2022,zerotraCe LLC,1,On Behalf of Third Party,ZTC12345,ACR-US-398-2019-1022-118495 to 118495,2019,6/10/2020 22:26,,No,No,06: Clean Water and Sanitation;13: Climate Action;15: Life on Land,ACR133,Anew - Doe Mountain Forestry Project,US,"Johnson County, Tennessee",TENNESSEE,Forest Carbon,Improved Forest Management (IFM) on Non-Federal U.S. Forestlands,Version 1.0
2/3/2022,Maple Leaf Foods,30934,Environmental Benefit,Carbon Neutral,ACR-US-556-2019-1157-229946 to 260879,2019,11/24/2020 17:40,,Yes,No,"09: Industry, Innovation and Infrastructure;12: Responsible Consumption and Production;13: Climate Action",ACR133,Foam Blowing Agent Project 005,US,Winchester,VIRGINIA,Industrial Process Emissions,Transition to Advanced Formulation Blowing Agents in Foam Manufacturing and Use,Version 2.0
2/1/2022,392,199,On Behalf of Third Party,On behalf of participants in Buy Carbon,ACR-US-499-2018-1026-52097 to 52295,2018,6/17/2020 13:09,,No,No,06: Clean Water and Sanitation;13: Climate Action;15: Life on Land,ACR133,Anew - Kootznoowoo Native Community Forestry Project,US,Prince of Wales,ALASKA,Forest Carbon,Improved Forest Management (IFM) on Non-Federal U.S. Forestlands,Version 1.3
2/1/2022,392,1155,On Behalf of Third Party,On behalf of participants in Buy Carbon,ACR-US-499-2019-1207-47143 to 48297,2019,2/8/2021 19:55,,No,No,06: Clean Water and Sanitation;13: Climate Action;15: Life on Land,ACR133,Anew - Kootznoowoo Native Community Forestry Project,US,Prince of Wales,ALASKA,Forest Carbon,Improved Forest Management (IFM) on Non-Federal U.S. Forestlands,Version 1.3
1/31/2022,"Anew Environmental, LLC",3000,On Behalf of Third Party,On behalf of the City of Palo Alto,ACR-US-212-2019-1155-17012 to 20011,2019,11/23/2020 23:09,,No,No,06: Clean Water and Sanitation;13: Climate Action;15: Life on Land,ACR133,UPM Blandin Native American Hardwoods Conservation & Carbon Sequestration Project,US,70mile radius of Grand Rapids,MINNESOTA,Forest Carbon,Improved Forest Management (IFM) on Non-Federal U.S. Forestlands,Version 1.1
1/31/2022,The Nature Conservancy,76502,On Behalf of Third Party,Retired on behalf of Disney's greenhouse gas emissions,ACR-US-374-2018-788-25001 to 101502,2018,11/28/2018 18:29,,No,No,06: Clean Water and Sanitation;13: Climate Action;15: Life on Land,ACR133,Anew - Shafer-Tuuk Forestry Project,US,"White County, Tennessee",TENNESSEE,Forest Carbon,Improved Forest Management (IFM) on Non-Federal U.S. Forestlands,Version 1.2
1/31/2022,The Nature Conservancy,47070,On Behalf of Third Party,Retired on behalf of Disney's greenhouse gas emissions,ACR-US-374-2018-952-1 to 47070,2018,1/31/2020 21:01,,No,No,06: Clean Water and Sanitation;13: Climate Action;15: Life on Land,ACR133,Anew - Shafer-Tuuk Forestry Project,US,"White County, Tennessee",TENNESSEE,Forest Carbon,Improved Forest Management (IFM) on Non-Federal U.S. Forestlands,Version 1.2
1/31/2022,The Nature Conservancy,34402,On Behalf of Third Party,Retired on behalf of Disney's greenhouse gas emissions,ACR-US-441-2018-865-87208 to 121609,2018,7/12/2019 0:17,,No,No,06: Clean Water and Sanitation;13: Climate Action;15: Life on Land,ACR134,TNC-Chestnut Mountain Improved Forest Management Project,US,White County,TENNESSEE,Forest Carbon,Improved Forest Management (IFM) on Non-Federal U.S. Forestlands,Version 1.3
1/31/2022,The Nature Conservancy,7734,On Behalf of Third Party,Retired on behalf of Disney's greenhouse gas emissions,ACR-US-394-2018-1127-1 to 7734,2018,10/26/2020 18:17,,No,No,06: Clean Water and Sanitation;13: Climate Action;15: Life on Land,ACR134,Hiawatha Club Carbon Project,US,East Stroudsburg,PENNSYLVANIA,Forest Carbon,Improved Forest Management (IFM) on Non-Federal U.S. Forestlands,Version 1.2
1/31/2022,Arbor Day Foundation,1013,On Behalf of Third Party,On Behalf of Vertical Supply Group,ACR-US-114-2017-735-495117 to 496129,2017,6/22/2018 23:22,,No,No,06: Clean Water and Sanitation;13: Climate Action;15: Life on Land,ACR134,GreenTrees ACRE (Advanced Carbon Restored Ecosystem),US,Mississippi Alluvial Valley,ARKANSAS,Forest Carbon,Afforestation and Reforestation of Degraded Lands,Version 1.0
1/31/2022,ClimeCo LLC,500,Environmental Benefit,on behalf of Last Green Mile,ACR-US-151-2008-458-1 to 500,2008,6/2/2016 14:43,,No,No,,ACR134,"Truck Stop Electrification, Ohio",US,Ohio,OHIO,Transport / Fleet Efficiency,Emissions Reductions though Anti-Idling Technologies,Version 1.0
1/30/2022,"Climate Impact Partners, LLC",7500,On Behalf of Third Party,PwC FY22 carbon purchase,ACR-US-222-2015-1375-4711 to 12210,2015,10/20/2021 19:13,,No,No,06: Clean Water and Sanitation;13: Climate Action;15: Life on Land,ACR134,Prairie Pothole Avoided Conversion of Grasslands and Shrublands,US,Missouri Coteau,NORTH DAKOTA,Agricultural Land Management,Avoided Conversion of Grasslands and Shrublands to Crop Production,Version 2.0
1/28/2022,392,175,On Behalf of Third Party,On behalf of Prana,ACR-US-441-2018-865-76988 to 77162,2018,7/12/2019 0:17,,No,No,06: Clean Water and Sanitation;13: Climate Action;15: Life on Land,ACR134,TNC-Chestnut Mountain Improved Forest Management Project,US,White County,TENNESSEE,Forest Carbon,Improved Forest Management (IFM) on Non-Federal U.S. Forestlands,Version 1.3
1/28/2022,392,65,On Behalf of Third Party,On behalf of Onfleet,ACR-US-499-2019-1025-75568 to 75632,2019,6/17/2020 13:09,,No,No,06: Clean Water and Sanitation;13: Climate Action;15: Life on Land,ACR134,Anew - Kootznoowoo Native Community Forestry Project,US,Prince of Wales,ALASKA,Forest Carbon,Improved Forest Management (IFM) on Non-Federal U.S. Forestlands,Version 1.3
1/28/2022,392,383,On Behalf of Third Party,On behalf of Onfleet,ACR-US-441-2018-865-76605 to 76987,2018,7/12/2019 0:17,,No,No,06: Clean Water and Sanitation;13: Climate Action;15: Life on Land,ACR134,TNC-Chestnut Mountain Improved Forest Management Project,US,White County,TENNESSEE,Forest Carbon,Improved Forest Management (IFM) on Non-Federal U.S. Forestlands,Version 1.3
1/28/2022,392,496,On Behalf of Third Party,On behalf of Onfleet,ACR-US-441-2018-865-76109 to 76604,2018,7/12/2019 0:17,,No,No,06: Clean Water and Sanitation;13: Climate Action;15: Life on Land,ACR134,TNC-Chestnut Mountain Improved Forest Management Project,US,White County,TENNESSEE,Forest Carbon,Improved Forest Management (IFM) on Non-Federal U.S. Forestlands,Version 1.3
1/28/2022,392,555,On Behalf of Third Party,On behalf of Onfleet,ACR-US-441-2018-865-75554 to 76108,2018,7/12/2019 0:17,,No,No,06: Clean Water and Sanitation;13: Climate Action;15: Life on Land,ACR134,TNC-Chestnut Mountain Improved Forest Management Project,US,White County,TENNESSEE,Forest Carbon,Improved Forest Management (IFM) on Non-Federal U.S. Forestlands,Version 1.3
